Title,Event start,Event end,Category 1,Category 2,Location
The Moon And The Sun,2014/05/05,2014/05/10,Filming - Movie,,Promotional Sites
Holding The Man,2014/10/07,2014/10/07,Filming - Movie,,Fawkner Park
Childhood's End,2014/12/04,2014/12/04,Filming - Movie,,Princes Park
Childhood's End,2014/12/09,2014/12/10,Filming - Movie,,"Little Bourke Street, Rankins Lane"
Anthony,2015/02/17,2015/02/17,Filming - Movie,,Inner Suburb Locations
A Journey With Anthony,2015/03/07,2015/03/15,Filming - Movie,,"Other Park Locations, Inner Suburb Locations"
Spirit Of The Game,2015/08/18,2015/08/18,Filming - Movie,,Carlton Gardens
Ali's Wedding,2015/11/30,2015/11/30,Filming - Movie,,Inner Suburb Locations
Ali's Wedding,2015/12/03,2015/12/03,Filming - Movie,,Inner Suburb Locations
Dogfight,2016/08/23,2016/08/23,Filming - Movie,,Inner Suburb Locations
Dogfight,2016/08/26,2016/08/27,Filming - Movie,,"Flagstaff Gardens, Collins Street, Flinders Lane, Little Collins Street, Market Street, Queen Street"
Dogfight,2016/08/28,2016/08/28,Filming - Movie,,"Treasury Gardens, Spring Street"
Dogfight Unit Base,2016/09/21,2016/09/21,Filming - Movie,,Flagstaff Gardens
Old Timer,2016/04/20,2016/04/20,Filming - Movie,Filming - Student,Fawkner Park
Spirit Of The Game,2015/08/19,2015/08/20,Filming - Movie,Filming - Unit Base,Royal Park
Dogfight,2016/09/10,2016/09/10,Filming - Movie,Filming - Unit Base,Other Park Locations
Dogfight,2016/09/11,2016/09/11,Filming - Movie,Filming - Unit Base,Treasury Gardens
Dogfight,2016/09/17,2016/09/17,Filming - Movie,Filming - Unit Base,"Flagstaff Gardens, Little Bourke Street"
Surya TVC,2014/04/26,2014/04/27,Filming - Other,,Collins Street
Threethousand,2014/05/06,2014/05/06,Filming - Other,,Coverlid Place
AMSA Promo,2014/05/25,2014/05/25,Filming - Other,,Flinders St Station
Loving Melbourne,2014/06/21,2014/06/21,Filming - Other,,Promotional Sites
Freedom - Music Video,2014/06/25,2014/06/26,Filming - Other,,Treasury Gardens
Guerilla Gig Sheppard,2014/06/26,2014/06/26,Filming - Other,,Queensbridge Square
Winners & Losers,2014/08/12,2014/08/12,Filming - Other,,Inner Suburb Locations
Support Act Bandwagon,2014/09/03,2014/09/03,Filming - Other,,Bourke Street
AFLPA MVP OB Compound,2014/09/09,2014/09/10,Filming - Other,,Promotional Sites
Parking & Traffic Music Video,2014/12/08,,Filming - Other,,Russell Street
The Parking And Traffic Music Video,2014/12/13,2014/12/13,Filming - Other,,"Little Collins Street, Union Lane"
"I, Supermodel",2014/12/18,2014/12/18,Filming - Other,,"Carlton Gardens, Flinders St Station"
British India Film Clip,2015/03/20,2015/03/20,Filming - Other,,"Promotional Sites, All Other Spaces"
Mq Marketing Film,2015/05/27,2015/05/28,Filming - Other,,Treasury Gardens
Absolute Content,2015/07/07,2015/07/08,Filming - Other,,"Little Collins Street, Corrs Lane, Tattersalls Lane"
The Carers Project,2015/07/19,2015/07/19,Filming - Other,,Southbank Spillway
Older And Younger,2015/08/04,2015/08/04,Filming - Other,,"Swanston Street, Cohen Place"
Rialto Regeneration Project,2015/08/11,2015/08/14,Filming - Other,,Batman Park
Hoyts,2015/09/10,2015/09/11,Filming - Other,,Bridges
Ang Dating Daan Video,2015/10/05,2015/10/05,Filming - Other,,Batman Park
Paradise Cove TVC,2016/02/01,2016/02/02,Filming - Other,,"Alexandra Gardens, Fawkner Park, Southbank Promenade, Inner Suburb Locations, Roads / Public Access Spaces"
Boys In The Trees - 29 Jan 2016,2016/02/02,2016/02/02,Filming - Other,,Fitzroy Gardens
Billboard Traffic,2016/02/12,2016/02/16,Filming - Other,,Batman Park
Milo Tvc,2016/03/12,2016/03/12,Filming - Other,,Holland Park
Music Video,2016/05/03,2016/05/04,Filming - Other,,"Bridges, Promotional Sites, All Other Spaces"
Music Video,2016/10/01,2016/10/09,Filming - Other,,Other Park Locations
Traffic Demo Uav Shoot,2016/10/01,2016/10/03,Filming - Other,,Parks
Metro Corporate Video,2016/11/11,2016/11/11,Filming - Other,,Treasury Gardens
Mpavilion Uav Shoot,2017/01/19,2017/01/19,Filming - Other,,Queen Victoria Gardens
"B-87 ""ride"" - Music Video",2017/02/24,2017/02/25,Filming - Other,,"Hosier Lane, Rutledge Lane"
35 Spring Street Drone Imagery,2017/04/04,2017/04/04,Filming - Other,,"Fitzroy Gardens, Treasury Gardens"
Nike Photoshoot,2014/01/08,2014/01/09,Filming - Photo shoot,,"Carlton Gardens, Queensbridge Square"
Mazda BT50 Photography,2014/01/11,2014/01/12,Filming - Photo shoot,,Roads / Public Access Spaces
Myer Mens Photo Shoot,2014/02/17,2014/02/19,Filming - Photo shoot,,"Bourke Street, Spring Street, Crossley Street, Meyers Place (Green Laneway), Punch Lane, Ridgway Place, Windsor Place"
Wedding Ceremony,2014/05/31,2014/05/31,Wedding,,Carlton Gardens
Flemington Grazing Trail Photo Shoot,2014/03/07,2014/03/07,Filming - Photo shoot,,Union Lane
2xu Photo Shoot,2014/03/14,2014/03/21,Filming - Photo shoot,,Privately Managed Event Spaces
Honda City Photo Shoot,2014/03/23,2014/03/31,Filming - Photo shoot,,Roads / Public Access Spaces
Honda City Photo Shoot,2014/03/29,2014/03/30,Filming - Photo shoot,,"Flinders Lane, Bank Place"
Aboriginal Tourism Victoria,2014/04/17,2014/04/17,Filming - Photo shoot,,Birrarung Marr
Reece Plumbing Diary Photography,2014/04/29,2014/04/29,Filming - Photo shoot,,Guildford Lane (Green Laneway(
Vic Uni,2014/05/08,2014/05/08,Filming - Photo shoot,,Evan Walker Bridge
Holmesglen Photo Shoot,2014/05/12,2014/05/14,Filming - Photo shoot,,Birrarung Marr
Work Cover,2014/05/14,2014/05/14,Filming - Photo shoot,,Inner Suburb Locations
